scaffold,length_bp,telomere_5prime,telomere_3prime,syenteny,chromosome
scaffold_1,56020172,yes,yes,yes,chr_3
scaffold_2,53045105,yes,no,yes,chr_2
scaffold_3,43747616,no,no,yes,chr_4
scaffold_4,42955755,yes,yes,yes,chr_5
scaffold_5,40732434,no,yes,yes,chr_1
scaffold_6,39412979,yes,no,yes,chr_7
scaffold_7,37712326,yes,yes,yes,chr_8
scaffold_8,31820999,yes,yes,yes,chr_9
scaffold_9,30632205,yes,no,yes,chr_1
scaffold_10,27255195,yes,no,yes,chr_6
scaffold_11,26561689,yes,yes,yes,chr_10
scaffold_12,16446180,yes,no,yes,chr_2
scaffold_13,14591951,no,yes,yes,chr_6
scaffold_14,7138074,no,no,no,
scaffold_15,3225765,no,yes,no,
scaffold_16,1581642,no,no,no,
scaffold_17,437601,no,no,no,
scaffold_18,407266,no,no,no,
scaffold_19,262008,no,no,no,
scaffold_20,245034,no,no,no,
scaffold_21,229299,no,no,no,
scaffold_22,102931,no,no,no,
scaffold_23,43549,no,no,no,
scaffold_24,33364,no,no,no,
scaffold_25,28101,no,no,no,
scaffold_26,24247,no,no,no,
scaffold_27,18082,no,no,no,
scaffold_28,16580,no,no,no,
scaffold_29,16256,no,no,no,
